text,label
"I absolutely loved the product. Great quality and fast delivery!",positive
"This is the worst service I’ve ever experienced. Very disappointed.",negative
"It’s okay. Nothing special, but it works.",neutral
"Amazing customer support. Quick and helpful response!",positive
"I don’t like it. It stopped working after a week.",negative
"The product is decent. Not bad, not great.",neutral
"Fantastic experience overall. Highly recommend!",positive
"Terrible experience. I want my money back.",negative
"I guess it's fine. Nothing to complain or praise.",neutral
"Exceeded my expectations. Will buy again!",positive
"Extremely poor build quality. Waste of money.",negative
"The delivery was on time, but the packaging was basic.",neutral
"Everything worked perfectly. Very satisfied!",positive
"App crashes every time I open it. Frustrating!",negative
"Installation was smooth, but features are average.",neutral
"Best purchase I’ve made this year!",positive
"Terribly slow and buggy. Regret buying it.",negative
"It’s a standard product, performs as described.",neutral
"Five stars from me! Outstanding experience!",positive
"The instructions were unclear and it’s unusable.",negative
